
LINEST FOR Y,,,LINEST FOR U,,,LINEST FOR V,
=INDEX(LINEST(A14:A7013;B14:B7013;1;1);1;1),=INDEX(LINEST(A14:A7013;B14:B7013;1;1);1;2),,=INDEX(LINEST(D14:D7013;E14:E7013;1;1);1;1),=INDEX(LINEST(D14:D7013;E14:E7013;1;1);1;2),,=INDEX(LINEST(G14:G7013;H14:H7013;1;1);1;1),=INDEX(LINEST(G14:G7013;H14:H7013;1;1);1;2),,
143,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,60,56.932,yellow,
145,138.3,yellow,163,160.719,yellow,56,56.932,yellow,
144,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,162,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,62,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,58,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
143,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
144,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
144,138.3,yellow,166,160.719,yellow,58,56.932,yellow,
144,138.3,yellow,167,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
144,138.3,yellow,166,160.719,yellow,61,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,58,56.932,yellow,
144,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,162,160.719,yellow,60,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
143,138.3,yellow,166,160.719,yellow,60,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
144,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
144,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,60,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,58,56.932,yellow,
144,138.3,yellow,167,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
144,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,61,56.932,yellow,
146,138.3,yellow,162,160.719,yellow,53,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,55,56.932,yellow,
143,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
144,138.3,yellow,167,160.719,yellow,61,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
144,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
144,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,60,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,53,56.932,yellow,
144,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,52,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
144,138.3,yellow,166,160.719,yellow,64,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,62,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,60,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,61,56.932,yellow,
148,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
149,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
149,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,52,56.932,yellow,
148,138.3,yellow,166,160.719,yellow,53,56.932,yellow,
148,138.3,yellow,166,160.719,yellow,51,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,53,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,52,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
149,138.3,yellow,165,160.719,yellow,51,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,52,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,52,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,58,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,52,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,63,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,50,56.932,yellow,
146,138.3,yellow,168,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,168,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,61,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,162,160.719,yellow,52,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
148,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,52,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,60,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,57,56.932,yellow,
149,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
149,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,162,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,60,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
148,138.3,yellow,165,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,51,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,52,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,62,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,162,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,162,160.719,yellow,54,56.932,yellow,
144,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
148,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,52,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,52,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,167,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,167,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
149,138.3,yellow,162,160.719,yellow,55,56.932,yellow,
148,138.3,yellow,162,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,52,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,162,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
148,138.3,yellow,162,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,52,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
148,138.3,yellow,162,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,163,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,53,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,60,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
149,138.3,yellow,162,160.719,yellow,52,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
148,138.3,yellow,162,160.719,yellow,54,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,56,56.932,yellow,
148,138.3,yellow,166,160.719,yellow,51,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,162,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,51,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,161,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,58,56.932,yellow,
148,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,52,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
148,138.3,yellow,161,160.719,yellow,61,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,168,160.719,yellow,55,56.932,yellow,
149,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,52,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,58,56.932,yellow,
149,138.3,yellow,162,160.719,yellow,54,56.932,yellow,
148,138.3,yellow,162,160.719,yellow,51,56.932,yellow,
144,138.3,yellow,169,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,61,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,162,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,60,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
144,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,53,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
145,138.3,yellow,167,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
148,138.3,yellow,163,160.719,yellow,53,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,162,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,60,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,53,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,61,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,60,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,60,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
144,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,60,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
144,138.3,yellow,164,160.719,yellow,60,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,61,56.932,yellow,
145,138.3,yellow,165,160.719,yellow,55,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,164,160.719,yellow,62,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,62,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,162,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,52,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,53,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,161,160.719,yellow,55,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,167,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
145,138.3,yellow,166,160.719,yellow,60,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
148,138.3,yellow,165,160.719,yellow,50,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,56,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,57,56.932,yellow,
148,138.3,yellow,161,160.719,yellow,56,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,57,56.932,yellow,
146,138.3,yellow,163,160.719,yellow,62,56.932,yellow,
146,138.3,yellow,165,160.719,yellow,59,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,54,56.932,yellow,
147,138.3,yellow,163,160.719,yellow,61,56.932,yellow,
147,138.3,yellow,165,160.719,yellow,53,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,57,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,58,56.932,yellow,
146,138.3,yellow,164,160.719,yellow,61,56.932,yellow,
147,138.3,yellow,166,160.719,yellow,55,56.932,yellow,
147,138.3,yellow,164,160.719,yellow,53,56.932,yellow,
148,138.3,yellow,164,160.719,yellow,54,56.932,yellow,
